method,dataset,protocol,count,chain_broken_at5,all_gold_at5,any_gold_at5,title_recall_at5,mean_gold_count,ExactMatch,F1,per_query_corr_chain_broken_vs_F1,per_query_corr_chain_broken_vs_EM,mean_F1_when_chain_intact,mean_F1_when_chain_broken,mean_EM_when_chain_intact,mean_EM_when_chain_broken,retrieval_path,reader_path
ETV4+PCEC_all32,hotpotqa,Qwen32B ETV4 graph/OpenIE + Qwen32B PCEC requirement/binding + GPT-4o-mini reader,1000,0.067,0.933,0.997,0.965,2.0,0.628,0.7557,-0.2926441263702436,-0.19923003883774446,0.7850750267952832,0.3462686567164179,0.6538049303322615,0.26865671641791045,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/pcec/etv4/evals/hotpotqa_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/reader_qa/etv4/reports/hotpotqa_etv4_all32_pcec_gpt4omini_none_reader_qa_full1000.json
ETV4+PCEC_old8b_utility,hotpotqa,qwen32b_etv4_graph + frozen/old PCEC utility + GPT-4o-mini reader,1000,0.07,0.9299999999999999,0.996,0.963,2.0,0.623,0.7542,-0.29771882720289544,-0.1990244447561565,0.7847372043010744,0.3483342857142857,0.6494623655913978,0.2714285714285714,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/evals/hotpotqa_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/reader_qa/reports/hotpotqa_etv4_pcec_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_all32,hotpotqa,Qwen32B graph/OpenIE + Qwen32B PCEC requirement/binding + GPT-4o-mini reader,1000,0.067,0.933,0.997,0.965,2.0,0.627,0.7553,-0.2956826596119039,-0.2068378034251562,0.7849609860664515,0.34253731343283583,0.6538049303322615,0.2537313432835821,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/pcec/etv3/evals/hotpotqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/reader_qa/etv3/reports/hotpotqa_etv3_all32_pcec_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_no_fact_witness_old8b_utility,hotpotqa,diagnostic old 8B PCEC utility + GPT-4o-mini reader,1000,0.071,0.929,0.996,0.9625,2.0,0.624,0.7504,-0.30620190020579163,-0.20340701671846748,0.7824602798708279,0.3312211267605633,0.6512378902045209,0.2676056338028169,run_logs/pcec_no_fact_witness_qwen32b_gpt4omini_none_full1000_20260514/evals/hotpotqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/pcec_no_fact_witness_qwen32b_gpt4omini_none_full1000_20260514/reader_qa/reports/hotpotqa_pcec_no_fact_witness_gpt4omini_none_reader_qa_full1000.json
ETv3+PCEC_old8b_utility,hotpotqa,qwen32b_graph + frozen/old PCEC utility + GPT-4o-mini reader,1000,0.066,0.9339999999999999,0.996,0.965,2.0,0.627,0.755,-0.3129044434322299,-0.21139380092332757,0.7861487152034252,0.3143939393939394,0.6541755888650964,0.24242424242424243,run_logs/pcec_qwen32b_graph_e2e_full1000_20260511/retrieval_reports_reader_docids/hotpotqa_pcec_fresh_e2e_prefix4_residual1_pool100_limit1000.json,run_logs/evidenceflow_pcec_qwen32b_gpt4omini_none_full1000_20260514/reports/hotpotqa_evidenceflow_qwen32b_gpt4omini_none_reader_qa_full1000.json
HippoRAG_valid_qwen32b_top200,hotpotqa,HippoRAG valid qwen32b graph + NV-Embed-v2 + GPT-4o-mini reader top5,1000,0.141,0.859,0.993,0.926,2.0,0.593,0.7251,-0.40384524639211894,-0.2667828744258839,0.7891855646100105,0.334531914893617,0.6461001164144354,0.2695035460992908,run_logs/hipporag_qwen32b_valid_graph_top200_full1000_20260513_r2/pools/hipporag/hotpotqa_hipporag_qwen32b_valid_graph_pool200.json,run_logs/hipporag_qwen32b_valid_graph_top200_full1000_20260513_r2/reader_qa/hipporag/hotpotqa_hipporag_qwen32b_valid_graph_top200_gpt4omini_reader_top5.json
NeocorRAG_k3_old,hotpotqa,completed 2026-05-01 NeocorRAG k=3 report,1000,0.202,0.798,0.983,0.8905,2.0,0.574,0.6946,,,,,,,run_logs/neocorrag_aligned_k3_full1000_20260430/hotpotqa_neocorrag_k3.json,
PCEC_position_slot1_old8b,hotpotqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.071,0.929,0.997,0.963,2.0,0.632,0.7503,-0.3149863919615412,-0.22503426613650307,0.7833327233584487,0.31773943661971826,0.6620021528525296,0.23943661971830985,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot1/hotpotqa_pcec_m4_admitted_slot1_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/hotpotqa_pcec_m4_admitted_slot1_reader_qa_8b_full1000.json
PCEC_position_slot2_old8b,hotpotqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.071,0.929,0.997,0.963,2.0,0.629,0.7494,-0.3111816145686659,-0.22293957322957542,0.7820410118406876,0.3226295774647887,0.658772874058127,0.23943661971830985,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot2/hotpotqa_pcec_m4_admitted_slot2_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/hotpotqa_pcec_m4_admitted_slot2_reader_qa_8b_full1000.json
PCEC_position_slot3_old8b,hotpotqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.071,0.929,0.997,0.963,2.0,0.633,0.7512,-0.30385774894250583,-0.217657698481063,0.7829362755651226,0.33571549295774644,0.6620021528525296,0.2535211267605634,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot3/hotpotqa_pcec_m4_admitted_slot3_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/hotpotqa_pcec_m4_admitted_slot3_reader_qa_8b_full1000.json
PCEC_position_slot4_old8b,hotpotqa,"position-sensitivity diagnostic, 8B reader/utility",1000,0.071,0.929,0.997,0.963,2.0,0.632,0.7503,-0.3176654664684582,-0.2250342661365032,0.7836487621097942,0.3141901408450704,0.6620021528525296,0.23943661971830985,reports/pcec_m4_position_sensitivity_8b_20260511/retrieval_reports/slot4/hotpotqa_pcec_m4_admitted_slot4_pool100_limit1000.json,reports/pcec_m4_position_sensitivity_8b_20260511/reader_qa/reports/hotpotqa_pcec_m4_admitted_slot4_reader_qa_8b_full1000.json
PropRAG_qwen32b_top200,hotpotqa,PropRAG qwen32b_nothink graph + NV-Embed-v2 + GPT-4o-mini reader top5,1000,0.093,0.907,0.995,0.951,2.0,0.618,0.751,-0.3393395275524748,-0.22303904849208364,0.7916624035281136,0.3549150537634408,0.6527012127894156,0.27956989247311825,run_logs/baseline_qwen32b_graph_top200_gpt4omini_full_20260512/pools/proprag/hotpotqa_proprag_qwen32b_nothink_pool200.json,run_logs/baseline_qwen32b_graph_top200_gpt4omini_full_20260512/reader_qa/proprag/hotpotqa_proprag_qwen32b_nothink_top200_gpt4omini_reader_top5.json
ETV4+PCEC_all32,musique,Qwen32B ETV4 graph/OpenIE + Qwen32B PCEC requirement/binding + GPT-4o-mini reader,1000,0.49,0.51,0.988,0.7645833333333323,2.601,0.372,0.4891,-0.4033254509402984,-0.36536580988906464,0.6677960784313727,0.3031369387755104,0.5450980392156862,0.19183673469387755,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/pcec/etv4/evals/musique_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/all32_etv3_etv4_pcec_gpt4omini_none_full1000_20260514/reader_qa/etv4/reports/musique_etv4_all32_pcec_gpt4omini_none_reader_qa_full1000.json
ETV4+PCEC_old8b_utility,musique,qwen32b_etv4_graph + frozen/old PCEC utility + GPT-4o-mini reader,1000,0.497,0.503,0.987,0.7618333333333327,2.601,0.359,0.4764,-0.4117217355018514,-0.3686606797696522,0.6611343936381713,0.2894847082494971,0.5347912524850894,0.18108651911468812,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/evals/musique_pcec_native_pool_prefix4_residual1_pool100_limit1000.json,run_logs/etv4_pcec_qwen32b_gpt4omini_none_full1000_20260514/reader_qa/reports/musique_etv4_pcec_gpt4omini_none_reader_qa_full1000.json
