pool,dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
HippoRAG,2Wiki,DAEC-selective - DAEC,R5_TITLE,0.9015,0.9015,1000,0.0,0.0,0.0,0.0,False
HippoRAG,HotpotQA,DAEC-selective - Top-5,EM,0.62,0.577,1000,0.043,0.025,0.061,1.0,True
HippoRAG,HotpotQA,DAEC-selective - Top-5,F1,0.7403479000000001,0.7010463,1000,0.0393016,0.0241272075,0.05525446249999999,1.0,True
HippoRAG,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.952,0.924,1000,0.028,0.019,0.037,1.0,True
HippoRAG,HotpotQA,DAEC - Top-5,EM,0.62,0.577,1000,0.043,0.026,0.06,1.0,True
HippoRAG,HotpotQA,DAEC - Top-5,F1,0.7403479000000001,0.7010463,1000,0.0393016,0.0239793775,0.05493037499999999,1.0,True
HippoRAG,HotpotQA,DAEC - Top-5,R5_TITLE,0.952,0.924,1000,0.028,0.019,0.037,1.0,True
HippoRAG,HotpotQA,DAEC-selective - DAEC,EM,0.62,0.62,1000,0.0,0.0,0.0,0.0,False
HippoRAG,HotpotQA,DAEC-selective - DAEC,F1,0.7403479000000001,0.7403479000000001,1000,0.0,0.0,0.0,0.0,False
HippoRAG,HotpotQA,DAEC-selective - DAEC,R5_TITLE,0.952,0.952,1000,0.0,0.0,0.0,0.0,False
HippoRAG,MuSiQue,DAEC-selective - Top-5,EM,0.328,0.311,1000,0.017,-0.005,0.038,0.9339,False
HippoRAG,MuSiQue,DAEC-selective - Top-5,F1,0.420583,0.3947078,1000,0.0258752,0.005232175000000002,0.04617021749999999,0.9933,True
HippoRAG,MuSiQue,DAEC-selective - Top-5,R5_TITLE,0.7335,0.6995833333333332,1000,0.03391666666666667,0.02283333333333333,0.04491874999999998,1.0,True
HippoRAG,MuSiQue,DAEC - Top-5,EM,0.317,0.311,1000,0.006,-0.015,0.028,0.6941,False
HippoRAG,MuSiQue,DAEC - Top-5,F1,0.41420320000000005,0.3947078,1000,0.0194954,-0.0012230475,0.040796437499999984,0.9655,False
HippoRAG,MuSiQue,DAEC - Top-5,R5_TITLE,0.7261666666666666,0.6995833333333332,1000,0.026583333333333334,0.014083333333333333,0.03916666666666667,1.0,True
HippoRAG,MuSiQue,DAEC-selective - DAEC,EM,0.328,0.317,1000,0.011,0.0,0.023,0.9677,False
HippoRAG,MuSiQue,DAEC-selective - DAEC,F1,0.420583,0.41420320000000005,1000,0.0063798000000000014,-0.004995864999999999,0.018052699999999988,0.8586,False
HippoRAG,MuSiQue,DAEC-selective - DAEC,R5_TITLE,0.7335,0.7261666666666666,1000,0.007333333333333334,8.333333333333371e-05,0.014916666666666667,0.977,True
PropRAG,2Wiki,DAEC-selective - Top-5,EM,0.642,0.575,1000,0.067,0.044,0.091,1.0,True
PropRAG,2Wiki,DAEC-selective - Top-5,F1,0.7118277000000001,0.6457426,1000,0.0660851,0.0444327875,0.0878554225,1.0,True
PropRAG,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.941,0.90275,1000,0.03825,0.02675,0.04975,1.0,True
PropRAG,2Wiki,DAEC - Top-5,EM,0.642,0.575,1000,0.067,0.045,0.09,1.0,True
PropRAG,2Wiki,DAEC - Top-5,F1,0.7118277000000001,0.6457426,1000,0.0660851,0.0444500975,0.08826596,1.0,True
PropRAG,2Wiki,DAEC - Top-5,R5_TITLE,0.941,0.90275,1000,0.03825,0.0265,0.05,1.0,True
PropRAG,2Wiki,DAEC-selective - DAEC,EM,0.642,0.642,1000,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,DAEC-selective - DAEC,F1,0.7118277000000001,0.7118277000000001,1000,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,DAEC-selective - DAEC,R5_TITLE,0.941,0.941,1000,0.0,0.0,0.0,0.0,False
PropRAG,HotpotQA,DAEC-selective - Top-5,EM,0.62,0.595,1000,0.025,0.011,0.04,0.9999,True
PropRAG,HotpotQA,DAEC-selective - Top-5,F1,0.7473044,0.7227198,1000,0.024584599999999998,0.01115323,0.03847938749999999,0.9998,True
PropRAG,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.9625,0.952,1000,0.0105,0.004,0.0175,0.9989,True
PropRAG,HotpotQA,DAEC - Top-5,EM,0.62,0.595,1000,0.025,0.011,0.04,0.9996,True
PropRAG,HotpotQA,DAEC - Top-5,F1,0.7473044,0.7227198,1000,0.024584599999999998,0.011243252500000002,0.03814177499999999,0.9998,True
PropRAG,HotpotQA,DAEC - Top-5,R5_TITLE,0.9625,0.952,1000,0.0105,0.004,0.0175,0.9995,True
PropRAG,HotpotQA,DAEC-selective - DAEC,EM,0.62,0.62,1000,0.0,0.0,0.0,0.0,False
PropRAG,HotpotQA,DAEC-selective - DAEC,F1,0.7473044,0.7473044,1000,0.0,0.0,0.0,0.0,False
PropRAG,HotpotQA,DAEC-selective - DAEC,R5_TITLE,0.9625,0.9625,1000,0.0,0.0,0.0,0.0,False
