pool,dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-style k20,F1,0.773244701986755,0.7905211050906414,302,-0.017276403103886548,-0.049931662987490806,0.013950515753562093,0.1441,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-style k20,R5_TITLE,0.9122516556291391,0.9511589403973509,302,-0.03890728476821192,-0.058774834437086095,-0.02152317880794702,0.0,True
PropRAG,2Wiki,gate=abstain,DBEC-IG - RankGPT-style sliding,EM,0.7450331125827815,0.7450331125827815,302,0.0,-0.03642384105960265,0.03642384105960265,0.4561,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - RankGPT-style sliding,F1,0.773244701986755,0.7732602754125932,302,-1.5573425838326117e-05,-0.03530409308314938,0.036197865946599385,0.4951,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9122516556291391,0.9461920529801324,302,-0.03394039735099338,-0.057119205298013245,-0.012417218543046357,0.0009,True
PropRAG,2Wiki,gate=abstain,DBEC-nobinding - SetR-faithful,EM,0.7450331125827815,0.7615894039735099,302,-0.016556291390728478,-0.056291390728476824,0.023178807947019868,0.1851,False
PropRAG,2Wiki,gate=abstain,DBEC-nobinding - SetR-faithful,F1,0.773244701986755,0.7916064619707004,302,-0.018361759983945413,-0.05492896949628737,0.01814753863134657,0.1607,False
PropRAG,2Wiki,gate=abstain,DBEC-nobinding - SetR-faithful,R5_TITLE,0.9122516556291391,0.9254966887417219,302,-0.013245033112582781,-0.03559602649006623,0.0074503311258278145,0.1092,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC-nobinding,EM,0.43870967741935485,0.3032258064516129,465,0.13548387096774195,0.0967741935483871,0.17419354838709677,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC-nobinding,F1,0.5705526881720431,0.4225169892473118,465,0.1480356989247312,0.11234517741935483,0.18403091397849458,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC-nobinding,R5_TITLE,0.964516129032258,0.8387096774193549,465,0.12580645161290321,0.1043010752688172,0.14731182795698924,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC,EM,0.43870967741935485,0.43870967741935485,465,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC,F1,0.5705526881720431,0.5705526881720431,465,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - DBEC,R5_TITLE,0.964516129032258,0.964516129032258,465,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-faithful,EM,0.43870967741935485,0.4150537634408602,465,0.023655913978494623,-0.010752688172043012,0.05591397849462366,0.9045,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-faithful,F1,0.5705526881720431,0.546940341617761,465,0.02361234655428204,-0.006242493501122535,0.05272657180931373,0.9414,False
