pool,dataset,slice,method,n,EM,F1,R5_TITLE
PropRAG,2Wiki,support_depth>=3|gate=abstain,Top-5,2,1.0,1.0,0.875
PropRAG,2Wiki,support_depth>=3|gate=abstain,DBEC,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=3|gate=abstain,DBEC-IG,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=3|gate=abstain,DBEC-nobinding,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=3|gate=abstain,SetR-style k20,2,1.0,1.0,0.875
PropRAG,2Wiki,support_depth>=3|gate=abstain,SetR-faithful,2,0.0,0.0,0.5
PropRAG,2Wiki,support_depth>=3|gate=abstain,RankGPT-style sliding,2,0.5,0.5,0.875
PropRAG,2Wiki,support_depth>=4|gate=bind,Top-5,233,0.8111587982832618,0.8111587982832618,0.8948497854077253
PropRAG,2Wiki,support_depth>=4|gate=bind,DBEC,233,0.9141630901287554,0.9141665236051502,0.9313304721030042
PropRAG,2Wiki,support_depth>=4|gate=bind,DBEC-IG,233,0.9141630901287554,0.9141665236051502,0.9313304721030042
PropRAG,2Wiki,support_depth>=4|gate=bind,DBEC-nobinding,233,0.7811158798283262,0.7811158798283262,0.8454935622317596
PropRAG,2Wiki,support_depth>=4|gate=bind,SetR-style k20,233,0.8669527896995708,0.8683834048640916,0.9195278969957081
PropRAG,2Wiki,support_depth>=4|gate=bind,SetR-faithful,233,0.7725321888412017,0.7777777777777778,0.7854077253218884
PropRAG,2Wiki,support_depth>=4|gate=bind,RankGPT-style sliding,233,0.8583690987124464,0.8597997138769672,0.9055793991416309
PropRAG,2Wiki,support_depth>=4|gate=abstain,Top-5,2,1.0,1.0,0.875
PropRAG,2Wiki,support_depth>=4|gate=abstain,DBEC,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=4|gate=abstain,DBEC-IG,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=4|gate=abstain,DBEC-nobinding,2,1.0,1.0,0.75
PropRAG,2Wiki,support_depth>=4|gate=abstain,SetR-style k20,2,1.0,1.0,0.875
PropRAG,2Wiki,support_depth>=4|gate=abstain,SetR-faithful,2,0.0,0.0,0.5
PropRAG,2Wiki,support_depth>=4|gate=abstain,RankGPT-style sliding,2,0.5,0.5,0.875
PropRAG,HotpotQA,all,Top-5,1000,0.595,0.7227198,0.952
PropRAG,HotpotQA,all,DBEC,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,all,DBEC-IG,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,all,DBEC-nobinding,1000,0.616,0.7387376,0.956
PropRAG,HotpotQA,all,SetR-style k20,1000,0.629,0.7551750575705685,0.9735
PropRAG,HotpotQA,all,SetR-faithful,1000,0.625,0.7434934946890055,0.9245
PropRAG,HotpotQA,all,RankGPT-style sliding,1000,0.566,0.6844810404765513,0.8805
PropRAG,HotpotQA,support_depth=2,Top-5,1000,0.595,0.7227198,0.952
PropRAG,HotpotQA,support_depth=2,DBEC,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,support_depth=2,DBEC-IG,1000,0.62,0.7473044,0.9625
PropRAG,HotpotQA,support_depth=2,DBEC-nobinding,1000,0.616,0.7387376,0.956
PropRAG,HotpotQA,support_depth=2,SetR-style k20,1000,0.629,0.7551750575705685,0.9735
PropRAG,HotpotQA,support_depth=2,SetR-faithful,1000,0.625,0.7434934946890055,0.9245
PropRAG,HotpotQA,support_depth=2,RankGPT-style sliding,1000,0.566,0.6844810404765513,0.8805
PropRAG,HotpotQA,gate=bind,Top-5,657,0.5981735159817352,0.7260124809741249,0.9459665144596652
PropRAG,HotpotQA,gate=bind,DBEC,657,0.6301369863013698,0.7630152207001523,0.9604261796042618
PropRAG,HotpotQA,gate=bind,DBEC-IG,657,0.6301369863013698,0.7630152207001523,0.9604261796042618
PropRAG,HotpotQA,gate=bind,DBEC-nobinding,657,0.624048706240487,0.7499759512937595,0.9505327245053272
PropRAG,HotpotQA,gate=bind,SetR-style k20,657,0.6407914764079148,0.7647430418985616,0.974124809741248
PropRAG,HotpotQA,gate=bind,SetR-faithful,657,0.6407914764079148,0.758950998663596,0.9307458143074582
PropRAG,HotpotQA,gate=bind,RankGPT-style sliding,657,0.5601217656012176,0.6815471408944415,0.8698630136986302
PropRAG,HotpotQA,gate=abstain,Top-5,343,0.5889212827988338,0.7164128279883382,0.9635568513119533
PropRAG,HotpotQA,gate=abstain,DBEC,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,gate=abstain,DBEC-IG,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,gate=abstain,DBEC-nobinding,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,gate=abstain,SetR-style k20,343,0.6064139941690962,0.7368480438577649,0.9723032069970845
PropRAG,HotpotQA,gate=abstain,SetR-faithful,343,0.5947521865889213,0.7138853894082301,0.9125364431486881
PropRAG,HotpotQA,gate=abstain,RankGPT-style sliding,343,0.577259475218659,0.6901007839909716,0.9008746355685131
PropRAG,HotpotQA,support_depth=2|gate=bind,Top-5,657,0.5981735159817352,0.7260124809741249,0.9459665144596652
PropRAG,HotpotQA,support_depth=2|gate=bind,DBEC,657,0.6301369863013698,0.7630152207001523,0.9604261796042618
PropRAG,HotpotQA,support_depth=2|gate=bind,DBEC-IG,657,0.6301369863013698,0.7630152207001523,0.9604261796042618
PropRAG,HotpotQA,support_depth=2|gate=bind,DBEC-nobinding,657,0.624048706240487,0.7499759512937595,0.9505327245053272
PropRAG,HotpotQA,support_depth=2|gate=bind,SetR-style k20,657,0.6407914764079148,0.7647430418985616,0.974124809741248
PropRAG,HotpotQA,support_depth=2|gate=bind,SetR-faithful,657,0.6407914764079148,0.758950998663596,0.9307458143074582
PropRAG,HotpotQA,support_depth=2|gate=bind,RankGPT-style sliding,657,0.5601217656012176,0.6815471408944415,0.8698630136986302
PropRAG,HotpotQA,support_depth=2|gate=abstain,Top-5,343,0.5889212827988338,0.7164128279883382,0.9635568513119533
PropRAG,HotpotQA,support_depth=2|gate=abstain,DBEC,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,support_depth=2|gate=abstain,DBEC-IG,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,support_depth=2|gate=abstain,DBEC-nobinding,343,0.6005830903790087,0.7172110787172011,0.9664723032069971
PropRAG,HotpotQA,support_depth=2|gate=abstain,SetR-style k20,343,0.6064139941690962,0.7368480438577649,0.9723032069970845
PropRAG,HotpotQA,support_depth=2|gate=abstain,SetR-faithful,343,0.5947521865889213,0.7138853894082301,0.9125364431486881
PropRAG,HotpotQA,support_depth=2|gate=abstain,RankGPT-style sliding,343,0.577259475218659,0.6901007839909716,0.9008746355685131
PropRAG,MuSiQue,all,Top-5,1000,0.33,0.42663599999999996,0.73775
PropRAG,MuSiQue,all,DBEC,1000,0.337,0.4358931,0.7611666666666668
PropRAG,MuSiQue,all,DBEC-IG,1000,0.353,0.45480810000000005,0.7745
PropRAG,MuSiQue,all,DBEC-nobinding,1000,0.343,0.4458135,0.7556666666666667
PropRAG,MuSiQue,all,SetR-style k20,1000,0.377,0.4760560863543062,0.7836666666666666
PropRAG,MuSiQue,all,SetR-faithful,1000,0.344,0.44665059935764273,0.6909166666666667
PropRAG,MuSiQue,all,RankGPT-style sliding,1000,0.319,0.40930187867687867,0.6630833333333332
PropRAG,MuSiQue,support_depth=2,Top-5,518,0.4189189189189189,0.5321247104247104,0.86003861003861
PropRAG,MuSiQue,support_depth=2,DBEC,518,0.42857142857142855,0.5423868725868727,0.8638996138996139
PropRAG,MuSiQue,support_depth=2,DBEC-IG,518,0.44015444015444016,0.5524675675675675,0.8774131274131274
PropRAG,MuSiQue,support_depth=2,DBEC-nobinding,518,0.43243243243243246,0.5381801158301158,0.8532818532818532
PropRAG,MuSiQue,support_depth=2,SetR-style k20,518,0.4768339768339768,0.5857655570890865,0.8947876447876448
PropRAG,MuSiQue,support_depth=2,SetR-faithful,518,0.44594594594594594,0.5544229475952165,0.7982625482625483
PropRAG,MuSiQue,support_depth=2,RankGPT-style sliding,518,0.4111969111969112,0.5081643153071724,0.7741312741312741
PropRAG,MuSiQue,support_depth>=3,Top-5,482,0.23443983402489627,0.3132684647302904,0.6063278008298755
PropRAG,MuSiQue,support_depth>=3,DBEC,482,0.23858921161825727,0.3214454356846473,0.6507607192254495
PropRAG,MuSiQue,support_depth>=3,DBEC-IG,482,0.25933609958506226,0.3498545643153527,0.6639004149377593
PropRAG,MuSiQue,support_depth>=3,DBEC-nobinding,482,0.24688796680497926,0.346548132780083,0.6507607192254494
PropRAG,MuSiQue,support_depth>=3,SetR-style k20,482,0.2697095435684647,0.3581525472658908,0.6642461964038728
PropRAG,MuSiQue,support_depth>=3,SetR-faithful,482,0.23443983402489627,0.3308288641147729,0.5755532503457814
PropRAG,MuSiQue,support_depth>=3,RankGPT-style sliding,482,0.21991701244813278,0.3030555256177662,0.5437413554633471
PropRAG,MuSiQue,support_depth>=4,Top-5,166,0.1566265060240964,0.2503024096385542,0.47740963855421686
PropRAG,MuSiQue,support_depth>=4,DBEC,166,0.15060240963855423,0.23582469879518073,0.5180722891566265
PropRAG,MuSiQue,support_depth>=4,DBEC-IG,166,0.18072289156626506,0.275544578313253,0.5060240963855421
PropRAG,MuSiQue,support_depth>=4,DBEC-nobinding,166,0.19879518072289157,0.29672048192771083,0.4939759036144578
PropRAG,MuSiQue,support_depth>=4,SetR-style k20,166,0.1927710843373494,0.29056355291295044,0.5271084337349398
PropRAG,MuSiQue,support_depth>=4,SetR-faithful,166,0.1746987951807229,0.25664606477859486,0.4683734939759036
PropRAG,MuSiQue,support_depth>=4,RankGPT-style sliding,166,0.15060240963855423,0.22986230636833047,0.4141566265060241
PropRAG,MuSiQue,gate=bind,Top-5,371,0.38005390835579517,0.4657576819407008,0.7515723270440252
PropRAG,MuSiQue,gate=bind,DBEC,371,0.39892183288409705,0.4878353099730458,0.8041329739442946
PropRAG,MuSiQue,gate=bind,DBEC-IG,371,0.39892183288409705,0.4878353099730458,0.8041329739442946
PropRAG,MuSiQue,gate=bind,DBEC-nobinding,371,0.3719676549865229,0.4635911051212938,0.7533692722371967
PropRAG,MuSiQue,gate=bind,SetR-style k20,371,0.4366576819407008,0.5217362385865636,0.7951482479784366
PropRAG,MuSiQue,gate=bind,SetR-faithful,371,0.41509433962264153,0.5030486738390655,0.7275381850853548
PropRAG,MuSiQue,gate=bind,RankGPT-style sliding,371,0.38544474393531,0.46486892245573075,0.7001347708894878
PropRAG,MuSiQue,gate=abstain,Top-5,629,0.3004769475357711,0.4035610492845787,0.7295972443031266
PropRAG,MuSiQue,gate=abstain,DBEC,629,0.3004769475357711,0.405256279809221,0.7358240593534711
PropRAG,MuSiQue,gate=abstain,DBEC-IG,629,0.32591414944356123,0.43532782193958663,0.7570217276099629
PropRAG,MuSiQue,gate=abstain,DBEC-nobinding,629,0.32591414944356123,0.43532782193958663,0.7570217276099629
PropRAG,MuSiQue,gate=abstain,SetR-style k20,629,0.34181240063593005,0.44911278511715585,0.7768945416004239
PropRAG,MuSiQue,gate=abstain,SetR-faithful,629,0.302066772655008,0.4133855983519068,0.6693163751987281
PropRAG,MuSiQue,gate=abstain,RankGPT-style sliding,629,0.27980922098569155,0.37652704045437607,0.6412294647588765
PropRAG,MuSiQue,support_depth=2|gate=bind,Top-5,212,0.4669811320754717,0.5803655660377359,0.8844339622641509
PropRAG,MuSiQue,support_depth=2|gate=bind,DBEC,212,0.47641509433962265,0.5963174528301887,0.9150943396226415
PropRAG,MuSiQue,support_depth=2|gate=bind,DBEC-IG,212,0.47641509433962265,0.5963174528301887,0.9150943396226415
PropRAG,MuSiQue,support_depth=2|gate=bind,DBEC-nobinding,212,0.45754716981132076,0.5614075471698113,0.8561320754716981
PropRAG,MuSiQue,support_depth=2|gate=bind,SetR-style k20,212,0.5330188679245284,0.6413995218309869,0.8985849056603774
PropRAG,MuSiQue,support_depth=2|gate=bind,SetR-faithful,212,0.5235849056603774,0.6248912520763242,0.8325471698113207
PropRAG,MuSiQue,support_depth=2|gate=bind,RankGPT-style sliding,212,0.46226415094339623,0.5570659054843294,0.8066037735849056
PropRAG,MuSiQue,support_depth=2|gate=abstain,Top-5,306,0.38562091503267976,0.4987029411764706,0.8431372549019608
PropRAG,MuSiQue,support_depth=2|gate=abstain,DBEC,306,0.3954248366013072,0.5050232026143792,0.8284313725490197
PropRAG,MuSiQue,support_depth=2|gate=abstain,DBEC-IG,306,0.4150326797385621,0.5220879084967319,0.8513071895424836
PropRAG,MuSiQue,support_depth=2|gate=abstain,DBEC-nobinding,306,0.4150326797385621,0.5220879084967319,0.8513071895424836
PropRAG,MuSiQue,support_depth=2|gate=abstain,SetR-style k20,306,0.43790849673202614,0.5472217645228025,0.8921568627450981
PropRAG,MuSiQue,support_depth=2|gate=abstain,SetR-faithful,306,0.39215686274509803,0.5056017693272595,0.7745098039215687
PropRAG,MuSiQue,support_depth=2|gate=abstain,RankGPT-style sliding,306,0.3758169934640523,0.4742847822432597,0.7516339869281046
PropRAG,MuSiQue,support_depth>=3|gate=bind,Top-5,159,0.2641509433962264,0.31294716981132076,0.5744234800838575
PropRAG,MuSiQue,support_depth>=3|gate=bind,DBEC,159,0.29559748427672955,0.3431924528301887,0.6561844863731657
PropRAG,MuSiQue,support_depth>=3|gate=bind,DBEC-IG,159,0.29559748427672955,0.3431924528301887,0.6561844863731657
PropRAG,MuSiQue,support_depth>=3|gate=bind,DBEC-nobinding,159,0.2578616352201258,0.3331691823899371,0.6163522012578616
PropRAG,MuSiQue,support_depth>=3|gate=bind,SetR-style k20,159,0.3081761006289308,0.362185194260666,0.6572327044025157
PropRAG,MuSiQue,support_depth>=3|gate=bind,SetR-faithful,159,0.27044025157232704,0.34059190285605384,0.5875262054507336
PropRAG,MuSiQue,support_depth>=3|gate=bind,RankGPT-style sliding,159,0.2830188679245283,0.3419396117509325,0.5581761006289309
PropRAG,MuSiQue,support_depth>=3|gate=abstain,Top-5,323,0.21981424148606812,0.31342662538699695,0.6220330237358102
PropRAG,MuSiQue,support_depth>=3|gate=abstain,DBEC,323,0.21052631578947367,0.3107402476780186,0.6480908152734778
PropRAG,MuSiQue,support_depth>=3|gate=abstain,DBEC-IG,323,0.24148606811145512,0.3531340557275542,0.6676986584107327
PropRAG,MuSiQue,support_depth>=3|gate=abstain,DBEC-nobinding,323,0.24148606811145512,0.3531340557275542,0.6676986584107327
PropRAG,MuSiQue,support_depth>=3|gate=abstain,SetR-style k20,323,0.25077399380804954,0.3561674362065433,0.6676986584107327
PropRAG,MuSiQue,support_depth>=3|gate=abstain,SetR-faithful,323,0.21671826625386997,0.3260229100594675,0.5696594427244582
PropRAG,MuSiQue,support_depth>=3|gate=abstain,RankGPT-style sliding,323,0.18885448916408668,0.28391444297017054,0.5366357069143447
PropRAG,MuSiQue,support_depth>=4|gate=bind,Top-5,52,0.21153846153846154,0.2521365384615385,0.4807692307692308
PropRAG,MuSiQue,support_depth>=4|gate=bind,DBEC,52,0.15384615384615385,0.19123846153846152,0.5384615384615384
PropRAG,MuSiQue,support_depth>=4|gate=bind,DBEC-IG,52,0.15384615384615385,0.19123846153846152,0.5384615384615384
PropRAG,MuSiQue,support_depth>=4|gate=bind,DBEC-nobinding,52,0.21153846153846154,0.2588384615384615,0.5
PropRAG,MuSiQue,support_depth>=4|gate=bind,SetR-style k20,52,0.23076923076923078,0.27371794871794874,0.5288461538461539
PropRAG,MuSiQue,support_depth>=4|gate=bind,SetR-faithful,52,0.23076923076923078,0.2788461538461538,0.4567307692307692
PropRAG,MuSiQue,support_depth>=4|gate=bind,RankGPT-style sliding,52,0.19230769230769232,0.2274725274725275,0.4375
PropRAG,MuSiQue,support_depth>=4|gate=abstain,Top-5,114,0.13157894736842105,0.24946578947368417,0.4758771929824561
PropRAG,MuSiQue,support_depth>=4|gate=abstain,DBEC,114,0.14912280701754385,0.2561622807017544,0.5087719298245614
PropRAG,MuSiQue,support_depth>=4|gate=abstain,DBEC-IG,114,0.19298245614035087,0.31400000000000006,0.49122807017543857
PropRAG,MuSiQue,support_depth>=4|gate=abstain,DBEC-nobinding,114,0.19298245614035087,0.31400000000000006,0.49122807017543857
PropRAG,MuSiQue,support_depth>=4|gate=abstain,SetR-style k20,114,0.17543859649122806,0.29824751272119693,0.5263157894736842
PropRAG,MuSiQue,support_depth>=4|gate=abstain,SetR-faithful,114,0.14912280701754385,0.2465197083618136,0.47368421052631576
PropRAG,MuSiQue,support_depth>=4|gate=abstain,RankGPT-style sliding,114,0.13157894736842105,0.23095238095238096,0.40350877192982454
