dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
HotpotQA,gold_doc_count=2,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.9245,0.8805,0.044,0.0275,0.061,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-faithful,EM,0.62,0.625,-0.005,-0.025,0.015,0.3004,False
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-faithful,F1,0.7473044,0.7434934946890055,0.003810905310994474,-0.015015690789293268,0.022265939030998237,0.652,False
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-faithful,R5_TITLE,0.9625,0.9245,0.038,0.0255,0.0505,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - RankGPT-style sliding,EM,0.353,0.319,0.034,0.006,0.062,0.9901,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - RankGPT-style sliding,F1,0.45480810000000005,0.40930187867687867,0.045506221323121314,0.01811688408984806,0.07225935231288319,0.9992,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.7745,0.6630833333333332,0.11141666666666666,0.09208333333333334,0.13083541666666662,1.0,True
MuSiQue,all,1000,2,4,2.648,SetR-faithful - RankGPT-style sliding,EM,0.344,0.319,0.025,-0.001,0.05,0.9702,False
MuSiQue,all,1000,2,4,2.648,SetR-faithful - RankGPT-style sliding,F1,0.44665059935764273,0.40930187867687867,0.03734872068076402,0.011445868945081407,0.0631553943543127,0.9976,True
MuSiQue,all,1000,2,4,2.648,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.6909166666666667,0.6630833333333332,0.02783333333333333,0.00925,0.045166666666666674,0.9987,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-faithful,EM,0.353,0.344,0.009,-0.017,0.035,0.7327,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-faithful,F1,0.45480810000000005,0.44665059935764273,0.008157500642357299,-0.01849747198498268,0.03414171483365963,0.7338,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-faithful,R5_TITLE,0.7745,0.6909166666666667,0.08358333333333334,0.06641666666666667,0.10083333333333334,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - RankGPT-style sliding,EM,0.44015444015444016,0.4111969111969112,0.02895752895752896,-0.009652509652509652,0.0694980694980695,0.9168,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - RankGPT-style sliding,F1,0.5524675675675675,0.5081643153071724,0.04430325226039512,0.006353117980197812,0.08303365985340773,0.9877,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.8774131274131274,0.7741312741312741,0.10328185328185328,0.07528957528957529,0.13223938223938225,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,SetR-faithful - RankGPT-style sliding,EM,0.44594594594594594,0.4111969111969112,0.03474903474903475,-0.0019305019305019305,0.07142857142857142,0.9667,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,SetR-faithful - RankGPT-style sliding,F1,0.5544229475952165,0.5081643153071724,0.04625863228804405,0.00992928907844874,0.08277872599301171,0.9939,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.7982625482625483,0.7741312741312741,0.02413127413127413,-0.0028957528957528956,0.05019305019305019,0.9613,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-faithful,EM,0.44015444015444016,0.44594594594594594,-0.005791505791505791,-0.04247104247104247,0.03088803088803089,0.3564,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-faithful,F1,0.5524675675675675,0.5544229475952165,-0.0019553800276489344,-0.037843907984128566,0.03372184016771201,0.4537,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-faithful,R5_TITLE,0.8774131274131274,0.7982625482625483,0.07915057915057915,0.05405405405405406,0.10424710424710425,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - RankGPT-style sliding,EM,0.25933609958506226,0.21991701244813278,0.03941908713692946,0.0,0.08091286307053942,0.9703,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - RankGPT-style sliding,F1,0.3498545643153527,0.3030555256177662,0.04679903869758641,0.008647139406812644,0.08629140650727786,0.9911,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.6639004149377593,0.5437413554633471,0.12015905947441217,0.0935338865836791,0.145746887966805,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,SetR-faithful - RankGPT-style sliding,EM,0.23443983402489627,0.21991701244813278,0.014522821576763486,-0.02074688796680498,0.05186721991701245,0.7688,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,SetR-faithful - RankGPT-style sliding,F1,0.3308288641147729,0.3030555256177662,0.02777333849700665,-0.008008015569830697,0.06513138887778785,0.934,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.5755532503457814,0.5437413554633471,0.0318118948824343,0.007780082987551868,0.05515214384508991,0.995,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-faithful,EM,0.25933609958506226,0.23443983402489627,0.024896265560165973,-0.012448132780082987,0.06431535269709543,0.8834,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-faithful,F1,0.3498545643153527,0.3308288641147729,0.019025700200579764,-0.019972027830386724,0.05807202116463349,0.8284,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-faithful,R5_TITLE,0.6639004149377593,0.5755532503457814,0.08834716459197788,0.06466113416320886,0.11238329875518666,1.0,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - RankGPT-style sliding,EM,0.30063291139240506,0.2563291139240506,0.04430379746835443,-0.00949367088607595,0.0981012658227848,0.9459,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - RankGPT-style sliding,F1,0.38889082278481013,0.34150512813487494,0.04738569464993515,-0.002884594007434191,0.09857865232341498,0.9669,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.7468354430379747,0.6118143459915611,0.13502109704641352,0.10337552742616032,0.16772151898734178,1.0,True
MuSiQue,gold_doc_count=3,316,3,3,3.0,SetR-faithful - RankGPT-style sliding,EM,0.26582278481012656,0.2563291139240506,0.00949367088607595,-0.0379746835443038,0.056962025316455694,0.6264,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,SetR-faithful - RankGPT-style sliding,F1,0.36979830933567653,0.34150512813487494,0.02829318120080161,-0.018799195144413527,0.07393279101280752,0.8829,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.6318565400843883,0.6118143459915611,0.020042194092827,-0.009493670886075951,0.048523206751054856,0.9089,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-faithful,EM,0.30063291139240506,0.26582278481012656,0.03481012658227848,-0.012658227848101266,0.08227848101265822,0.9153,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-faithful,F1,0.38889082278481013,0.36979830933567653,0.019092513449133545,-0.028558388549648952,0.06682735418367718,0.7852,False
MuSiQue,gold_doc_count=3,316,3,3,3.0,DAEC-selective - SetR-faithful,R5_TITLE,0.7468354430379747,0.6318565400843883,0.11497890295358648,0.08438818565400845,0.14451476793248946,1.0,True
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - RankGPT-style sliding,EM,0.18072289156626506,0.15060240963855423,0.030120481927710843,-0.030120481927710843,0.09036144578313253,0.7991,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - RankGPT-style sliding,F1,0.275544578313253,0.22986230636833047,0.045682271944922546,-0.016493187033849683,0.10759852696500276,0.9272,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.5060240963855421,0.4141566265060241,0.09186746987951808,0.04819277108433735,0.13403614457831325,1.0,True
MuSiQue,gold_doc_count>=4,166,4,4,4.0,SetR-faithful - RankGPT-style sliding,EM,0.1746987951807229,0.15060240963855423,0.024096385542168676,-0.03614457831325301,0.08433734939759036,0.7699,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,SetR-faithful - RankGPT-style sliding,F1,0.25664606477859486,0.22986230636833047,0.026783758410264435,-0.03190450112136859,0.08581136233244666,0.8115,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.4683734939759036,0.4141566265060241,0.05421686746987952,0.015060240963855422,0.09337349397590361,0.9966,True
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - SetR-faithful,EM,0.18072289156626506,0.1746987951807229,0.006024096385542169,-0.060240963855421686,0.07228915662650602,0.5343,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - SetR-faithful,F1,0.275544578313253,0.25664606477859486,0.01889851353465811,-0.046717906365722636,0.08510227148855155,0.7209,False
MuSiQue,gold_doc_count>=4,166,4,4,4.0,DAEC-selective - SetR-faithful,R5_TITLE,0.5060240963855421,0.4683734939759036,0.03765060240963856,0.0015060240963855422,0.07379518072289157,0.9763,True
