dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - LLM-direct title,R5_TITLE,0.9297872340425531,0.7457446808510638,0.18404255319148935,0.15319148936170213,0.21595744680851064,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,EM,0.9148936170212766,0.8297872340425532,0.0851063829787234,0.03404255319148936,0.13617021276595745,1.0,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,F1,0.9148970212765958,0.8327909887359198,0.08210603254067585,0.033511148936170236,0.1319182978723404,0.9995,True
2Wiki,gold_doc_count>=3,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9297872340425531,0.8776595744680851,0.052127659574468084,0.026595744680851064,0.07872340425531915,0.9999,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-style k20,EM,0.9148936170212766,0.8680851063829788,0.04680851063829787,0.00425531914893617,0.09361702127659574,0.9781,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-style k20,F1,0.9148970212765958,0.8695035460992908,0.045393475177304965,6.808510638298988e-06,0.08936851063829787,0.9783,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-style k20,R5_TITLE,0.9297872340425531,0.9191489361702128,0.010638297872340425,-0.010638297872340425,0.031914893617021274,0.8279,False
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - Top5,EM,0.9148936170212766,0.8127659574468085,0.10212765957446808,0.05106382978723404,0.15319148936170213,0.9998,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - Top5,F1,0.9148970212765958,0.8127659574468085,0.10213106382978722,0.05107063829787234,0.15319489361702127,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - Top5,R5_TITLE,0.9297872340425531,0.8946808510638298,0.035106382978723406,0.01276595744680851,0.05638297872340425,0.999,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - IRCoT-style local,EM,0.9148936170212766,0.7191489361702128,0.19574468085106383,0.13617021276595745,0.2553191489361702,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - IRCoT-style local,F1,0.9148970212765958,0.7203647416413373,0.19453227963525835,0.13374881458966564,0.25532255319148933,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.9297872340425531,0.7468085106382979,0.1829787234042553,0.15425531914893617,0.21170212765957447,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct title,EM,0.9148936170212766,0.6893617021276596,0.225531914893617,0.16595744680851063,0.28936170212765955,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct title,F1,0.9148970212765958,0.6919959473150962,0.22290107396149947,0.16333332928064845,0.28429584599797364,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct title,R5_TITLE,0.9297872340425531,0.7457446808510638,0.18404255319148935,0.15212765957446808,0.21595744680851064,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,EM,0.9148936170212766,0.8297872340425532,0.0851063829787234,0.03404255319148936,0.13617021276595745,0.9992,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,F1,0.9148970212765958,0.8327909887359198,0.08210603254067585,0.03404255319148936,0.1319182978723404,0.9997,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9297872340425531,0.8776595744680851,0.052127659574468084,0.026595744680851064,0.07872340425531915,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-style k20,EM,0.62,0.629,-0.009,-0.025,0.007,0.1227,False
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-style k20,F1,0.7473044,0.7551750575705685,-0.007870657570568408,-0.022155060794958395,0.0064215499030544545,0.1427,False
