dataset,variant,n,rank_quota,max_repairs,min_gain,branch_policy,final_support_recall,final_support_complete,rank_support_recall,rank_support_complete,dbec_support_recall,dbec_support_complete,delta_support_recall_vs_rank,delta_support_complete_vs_rank,delta_support_recall_vs_dbec,delta_support_complete_vs_dbec,accepted_repair_count,rank_fill_count,added_gold_count,removed_gold_count,net_gold_delta_vs_rank,harmful_replacement_rate,branch_conflict_reject_count,branch_unknown_count
2Wiki,rq1_mr2_g003_branchoff,122,1,2,0.03,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr2_g003_branchstrict,122,1,2,0.03,strict,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.360655737704918,1.0655737704918034,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,0.05737704918032787
2Wiki,rq1_mr2_g005_branchoff,122,1,2,0.05,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3524590163934427,1.0737704918032787,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr2_g005_branchstrict,122,1,2,0.05,strict,0.930327868852459,0.7295081967213115,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05327868852459016,0.18032786885245902,0.006147540983606557,0.02459016393442623,1.3360655737704918,1.0901639344262295,0.29508196721311475,0.08196721311475409,0.21311475409836064,0.07377049180327869,0.0,0.05737704918032787
2Wiki,rq1_mr2_g010_branchoff,122,1,2,0.1,off,0.930327868852459,0.7295081967213115,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05327868852459016,0.18032786885245902,0.006147540983606557,0.02459016393442623,1.2868852459016393,1.139344262295082,0.29508196721311475,0.08196721311475409,0.21311475409836064,0.07377049180327869,0.0,2.0737704918032787
2Wiki,rq1_mr2_g010_branchstrict,122,1,2,0.1,strict,0.9323770491803278,0.7377049180327869,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.055327868852459015,0.1885245901639344,0.00819672131147541,0.03278688524590164,1.278688524590164,1.1475409836065573,0.29508196721311475,0.07377049180327869,0.22131147540983606,0.06557377049180328,0.0,0.06557377049180328
2Wiki,rq1_mr3_g000_branchoff,122,1,3,0.0,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr3_g000_branchstrict,122,1,3,0.0,strict,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,0.05737704918032787
2Wiki,rq1_mr3_g003_branchoff,122,1,3,0.03,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr3_g003_branchstrict,122,1,3,0.03,strict,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.360655737704918,1.0655737704918034,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,0.05737704918032787
2Wiki,rq1_mr3_g005_branchoff,122,1,3,0.05,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3524590163934427,1.0737704918032787,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr3_g005_branchstrict,122,1,3,0.05,strict,0.930327868852459,0.7295081967213115,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05327868852459016,0.18032786885245902,0.006147540983606557,0.02459016393442623,1.3360655737704918,1.0901639344262295,0.29508196721311475,0.08196721311475409,0.21311475409836064,0.07377049180327869,0.0,0.05737704918032787
2Wiki,rq1_mr3_g010_branchoff,122,1,3,0.1,off,0.930327868852459,0.7295081967213115,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05327868852459016,0.18032786885245902,0.006147540983606557,0.02459016393442623,1.2868852459016393,1.139344262295082,0.29508196721311475,0.08196721311475409,0.21311475409836064,0.07377049180327869,0.0,2.0737704918032787
2Wiki,rq1_mr3_g010_branchstrict,122,1,3,0.1,strict,0.9323770491803278,0.7377049180327869,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.055327868852459015,0.1885245901639344,0.00819672131147541,0.03278688524590164,1.278688524590164,1.1475409836065573,0.29508196721311475,0.07377049180327869,0.22131147540983606,0.06557377049180328,0.0,0.06557377049180328
2Wiki,rq2_mr1_g000_branchoff,122,2,1,0.0,off,0.8872950819672131,0.5737704918032787,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.010245901639344262,0.02459016393442623,-0.036885245901639344,-0.13114754098360656,0.4262295081967213,2.0,0.06557377049180328,0.02459016393442623,0.040983606557377046,0.02459016393442623,0.0,0.47540983606557374
2Wiki,rq2_mr1_g000_branchstrict,122,2,1,0.0,strict,0.8872950819672131,0.5737704918032787,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.010245901639344262,0.02459016393442623,-0.036885245901639344,-0.13114754098360656,0.4262295081967213,2.0,0.06557377049180328,0.02459016393442623,0.040983606557377046,0.02459016393442623,0.0,0.02459016393442623
2Wiki,rq2_mr1_g003_branchoff,122,2,1,0.03,off,0.8872950819672131,0.5737704918032787,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.010245901639344262,0.02459016393442623,-0.036885245901639344,-0.13114754098360656,0.4262295081967213,2.0,0.06557377049180328,0.02459016393442623,0.040983606557377046,0.02459016393442623,0.0,0.47540983606557374
