dataset,variant,baseline,metric,rank_quota,max_repairs,min_gain,branch_policy,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,rq1_mr2_g000_branchstrict,rank_fill5,support_complete,1,2,0.0,strict,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9999,True
2Wiki,rq1_mr2_g000_branchstrict,dbec_selective,support_complete,1,2,0.0,strict,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7357,False
2Wiki,rq1_mr2_g000_branchstrict,rank_fill5,support_hit_count,1,2,0.0,strict,122,0.20491803278688525,0.09836065573770492,0.319672131147541,0.9998,True
2Wiki,rq1_mr2_g000_branchstrict,dbec_selective,support_hit_count,1,2,0.0,strict,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.6916,False
2Wiki,rq1_mr2_g003_branchoff,rank_fill5,support_recall,1,2,0.03,off,122,0.05122950819672131,0.02459016393442623,0.07991803278688525,0.9998,True
2Wiki,rq1_mr2_g003_branchoff,dbec_selective,support_recall,1,2,0.03,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7041,False
2Wiki,rq1_mr2_g003_branchoff,rank_fill5,support_complete,1,2,0.03,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9995,True
2Wiki,rq1_mr2_g003_branchoff,dbec_selective,support_complete,1,2,0.03,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7392,False
2Wiki,rq1_mr2_g003_branchoff,rank_fill5,support_hit_count,1,2,0.03,off,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,0.9999,True
2Wiki,rq1_mr2_g003_branchoff,dbec_selective,support_hit_count,1,2,0.03,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7087,False
2Wiki,rq1_mr2_g003_branchstrict,rank_fill5,support_recall,1,2,0.03,strict,122,0.05122950819672131,0.02459016393442623,0.0778688524590164,1.0,True
2Wiki,rq1_mr2_g003_branchstrict,dbec_selective,support_recall,1,2,0.03,strict,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7087,False
2Wiki,rq1_mr2_g003_branchstrict,rank_fill5,support_complete,1,2,0.03,strict,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9991,True
2Wiki,rq1_mr2_g003_branchstrict,dbec_selective,support_complete,1,2,0.03,strict,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7247,False
2Wiki,rq1_mr2_g003_branchstrict,rank_fill5,support_hit_count,1,2,0.03,strict,122,0.20491803278688525,0.09836065573770492,0.319672131147541,0.9998,True
2Wiki,rq1_mr2_g003_branchstrict,dbec_selective,support_hit_count,1,2,0.03,strict,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.7127,False
2Wiki,rq1_mr2_g005_branchoff,rank_fill5,support_recall,1,2,0.05,off,122,0.05122950819672131,0.02459016393442623,0.07991803278688525,0.9999,True
2Wiki,rq1_mr2_g005_branchoff,dbec_selective,support_recall,1,2,0.05,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.6976,False
2Wiki,rq1_mr2_g005_branchoff,rank_fill5,support_complete,1,2,0.05,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9994,True
2Wiki,rq1_mr2_g005_branchoff,dbec_selective,support_complete,1,2,0.05,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7239,False
2Wiki,rq1_mr2_g005_branchoff,rank_fill5,support_hit_count,1,2,0.05,off,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,0.9999,True
2Wiki,rq1_mr2_g005_branchoff,dbec_selective,support_hit_count,1,2,0.05,off,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.7013,False
2Wiki,rq1_mr2_g005_branchstrict,rank_fill5,support_recall,1,2,0.05,strict,122,0.05327868852459016,0.02663934426229508,0.07991803278688525,0.9999,True
2Wiki,rq1_mr2_g005_branchstrict,dbec_selective,support_recall,1,2,0.05,strict,122,0.006147540983606557,-0.006147540983606557,0.018442622950819672,0.7974,False
2Wiki,rq1_mr2_g005_branchstrict,rank_fill5,support_complete,1,2,0.05,strict,122,0.18032786885245902,0.08196721311475409,0.2786885245901639,0.9999,True
2Wiki,rq1_mr2_g005_branchstrict,dbec_selective,support_complete,1,2,0.05,strict,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.8317,False
2Wiki,rq1_mr2_g005_branchstrict,rank_fill5,support_hit_count,1,2,0.05,strict,122,0.21311475409836064,0.10655737704918032,0.319672131147541,1.0,True
2Wiki,rq1_mr2_g005_branchstrict,dbec_selective,support_hit_count,1,2,0.05,strict,122,0.02459016393442623,-0.02459016393442623,0.07377049180327869,0.8032,False
2Wiki,rq1_mr2_g010_branchoff,rank_fill5,support_recall,1,2,0.1,off,122,0.05327868852459016,0.02663934426229508,0.07991803278688525,1.0,True
2Wiki,rq1_mr2_g010_branchoff,dbec_selective,support_recall,1,2,0.1,off,122,0.006147540983606557,-0.006147540983606557,0.018442622950819672,0.8104,False
2Wiki,rq1_mr2_g010_branchoff,rank_fill5,support_complete,1,2,0.1,off,122,0.18032786885245902,0.08196721311475409,0.2786885245901639,0.9997,True
2Wiki,rq1_mr2_g010_branchoff,dbec_selective,support_complete,1,2,0.1,off,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.8359,False
2Wiki,rq1_mr2_g010_branchoff,rank_fill5,support_hit_count,1,2,0.1,off,122,0.21311475409836064,0.10655737704918032,0.319672131147541,1.0,True
2Wiki,rq1_mr2_g010_branchoff,dbec_selective,support_hit_count,1,2,0.1,off,122,0.02459016393442623,-0.02459016393442623,0.07377049180327869,0.8009,False
2Wiki,rq1_mr2_g010_branchstrict,rank_fill5,support_recall,1,2,0.1,strict,122,0.055327868852459015,0.028688524590163935,0.08196721311475409,0.9999,True
2Wiki,rq1_mr2_g010_branchstrict,dbec_selective,support_recall,1,2,0.1,strict,122,0.00819672131147541,-0.004098360655737705,0.022540983606557378,0.8467,False
2Wiki,rq1_mr2_g010_branchstrict,rank_fill5,support_complete,1,2,0.1,strict,122,0.1885245901639344,0.09836065573770492,0.28688524590163933,0.9999,True
2Wiki,rq1_mr2_g010_branchstrict,dbec_selective,support_complete,1,2,0.1,strict,122,0.03278688524590164,-0.00819672131147541,0.08196721311475409,0.9025,False
2Wiki,rq1_mr2_g010_branchstrict,rank_fill5,support_hit_count,1,2,0.1,strict,122,0.22131147540983606,0.11475409836065574,0.32786885245901637,1.0,True
2Wiki,rq1_mr2_g010_branchstrict,dbec_selective,support_hit_count,1,2,0.1,strict,122,0.03278688524590164,-0.01639344262295082,0.09016393442622951,0.8412,False
2Wiki,rq1_mr3_g000_branchoff,rank_fill5,support_recall,1,3,0.0,off,122,0.05122950819672131,0.02459016393442623,0.07991803278688525,0.9998,True
2Wiki,rq1_mr3_g000_branchoff,dbec_selective,support_recall,1,3,0.0,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7009,False
2Wiki,rq1_mr3_g000_branchoff,rank_fill5,support_complete,1,3,0.0,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9999,True
2Wiki,rq1_mr3_g000_branchoff,dbec_selective,support_complete,1,3,0.0,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7369,False
2Wiki,rq1_mr3_g000_branchoff,rank_fill5,support_hit_count,1,3,0.0,off,122,0.20491803278688525,0.09836065573770492,0.319672131147541,1.0,True
2Wiki,rq1_mr3_g000_branchoff,dbec_selective,support_hit_count,1,3,0.0,off,122,0.01639344262295082,-0.03278688524590164,0.06557377049180328,0.6958,False
2Wiki,rq1_mr3_g000_branchstrict,rank_fill5,support_recall,1,3,0.0,strict,122,0.05122950819672131,0.02459016393442623,0.0778688524590164,1.0,True
2Wiki,rq1_mr3_g000_branchstrict,dbec_selective,support_recall,1,3,0.0,strict,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7052,False
2Wiki,rq1_mr3_g000_branchstrict,rank_fill5,support_complete,1,3,0.0,strict,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9996,True
2Wiki,rq1_mr3_g000_branchstrict,dbec_selective,support_complete,1,3,0.0,strict,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7362,False
2Wiki,rq1_mr3_g000_branchstrict,rank_fill5,support_hit_count,1,3,0.0,strict,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,1.0,True
2Wiki,rq1_mr3_g000_branchstrict,dbec_selective,support_hit_count,1,3,0.0,strict,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.7078,False
2Wiki,rq1_mr3_g003_branchoff,rank_fill5,support_recall,1,3,0.03,off,122,0.05122950819672131,0.02459016393442623,0.0778688524590164,0.9999,True
2Wiki,rq1_mr3_g003_branchoff,dbec_selective,support_recall,1,3,0.03,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.6977,False
2Wiki,rq1_mr3_g003_branchoff,rank_fill5,support_complete,1,3,0.03,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9997,True
2Wiki,rq1_mr3_g003_branchoff,dbec_selective,support_complete,1,3,0.03,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7258,False
2Wiki,rq1_mr3_g003_branchoff,rank_fill5,support_hit_count,1,3,0.03,off,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,0.9998,True
2Wiki,rq1_mr3_g003_branchoff,dbec_selective,support_hit_count,1,3,0.03,off,122,0.01639344262295082,-0.024795081967212928,0.06557377049180328,0.7022,False
2Wiki,rq1_mr3_g003_branchstrict,rank_fill5,support_recall,1,3,0.03,strict,122,0.05122950819672131,0.02459016393442623,0.0778688524590164,1.0,True
2Wiki,rq1_mr3_g003_branchstrict,dbec_selective,support_recall,1,3,0.03,strict,122,0.004098360655737705,-0.006147540983606557,0.014344262295081968,0.7061,False
2Wiki,rq1_mr3_g003_branchstrict,rank_fill5,support_complete,1,3,0.03,strict,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9998,True
2Wiki,rq1_mr3_g003_branchstrict,dbec_selective,support_complete,1,3,0.03,strict,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7379,False
2Wiki,rq1_mr3_g003_branchstrict,rank_fill5,support_hit_count,1,3,0.03,strict,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,1.0,True
2Wiki,rq1_mr3_g003_branchstrict,dbec_selective,support_hit_count,1,3,0.03,strict,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.6999,False
2Wiki,rq1_mr3_g005_branchoff,rank_fill5,support_recall,1,3,0.05,off,122,0.05122950819672131,0.02459016393442623,0.0778688524590164,0.9997,True
2Wiki,rq1_mr3_g005_branchoff,dbec_selective,support_recall,1,3,0.05,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.6999,False
2Wiki,rq1_mr3_g005_branchoff,rank_fill5,support_complete,1,3,0.05,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9997,True
2Wiki,rq1_mr3_g005_branchoff,dbec_selective,support_complete,1,3,0.05,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7316,False
2Wiki,rq1_mr3_g005_branchoff,rank_fill5,support_hit_count,1,3,0.05,off,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,0.9999,True
2Wiki,rq1_mr3_g005_branchoff,dbec_selective,support_hit_count,1,3,0.05,off,122,0.01639344262295082,-0.03278688524590164,0.06557377049180328,0.7005,False
2Wiki,rq1_mr3_g005_branchstrict,rank_fill5,support_recall,1,3,0.05,strict,122,0.05327868852459016,0.02663934426229508,0.07991803278688525,0.9999,True
2Wiki,rq1_mr3_g005_branchstrict,dbec_selective,support_recall,1,3,0.05,strict,122,0.006147540983606557,-0.006147540983606557,0.018442622950819672,0.7991,False
2Wiki,rq1_mr3_g005_branchstrict,rank_fill5,support_complete,1,3,0.05,strict,122,0.18032786885245902,0.08196721311475409,0.2786885245901639,0.9998,True
2Wiki,rq1_mr3_g005_branchstrict,dbec_selective,support_complete,1,3,0.05,strict,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.834,False
2Wiki,rq1_mr3_g005_branchstrict,rank_fill5,support_hit_count,1,3,0.05,strict,122,0.21311475409836064,0.10655737704918032,0.319672131147541,1.0,True
2Wiki,rq1_mr3_g005_branchstrict,dbec_selective,support_hit_count,1,3,0.05,strict,122,0.02459016393442623,-0.02459016393442623,0.07377049180327869,0.8002,False
2Wiki,rq1_mr3_g010_branchoff,rank_fill5,support_recall,1,3,0.1,off,122,0.05327868852459016,0.02663934426229508,0.07991803278688525,1.0,True
2Wiki,rq1_mr3_g010_branchoff,dbec_selective,support_recall,1,3,0.1,off,122,0.006147540983606557,-0.006147540983606557,0.018442622950819672,0.8037,False
2Wiki,rq1_mr3_g010_branchoff,rank_fill5,support_complete,1,3,0.1,off,122,0.18032786885245902,0.08196721311475409,0.2786885245901639,1.0,True
2Wiki,rq1_mr3_g010_branchoff,dbec_selective,support_complete,1,3,0.1,off,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.8311,False
2Wiki,rq1_mr3_g010_branchoff,rank_fill5,support_hit_count,1,3,0.1,off,122,0.21311475409836064,0.10655737704918032,0.319672131147541,0.9999,True
2Wiki,rq1_mr3_g010_branchoff,dbec_selective,support_hit_count,1,3,0.1,off,122,0.02459016393442623,-0.02459016393442623,0.07377049180327869,0.802,False
2Wiki,rq1_mr3_g010_branchstrict,rank_fill5,support_recall,1,3,0.1,strict,122,0.055327868852459015,0.028688524590163935,0.08196721311475409,1.0,True
2Wiki,rq1_mr3_g010_branchstrict,dbec_selective,support_recall,1,3,0.1,strict,122,0.00819672131147541,-0.004098360655737705,0.022540983606557378,0.8467,False
2Wiki,rq1_mr3_g010_branchstrict,rank_fill5,support_complete,1,3,0.1,strict,122,0.1885245901639344,0.09016393442622951,0.28688524590163933,1.0,True
2Wiki,rq1_mr3_g010_branchstrict,dbec_selective,support_complete,1,3,0.1,strict,122,0.03278688524590164,-0.00819672131147541,0.08196721311475409,0.8947,False
2Wiki,rq1_mr3_g010_branchstrict,rank_fill5,support_hit_count,1,3,0.1,strict,122,0.22131147540983606,0.12295081967213115,0.32786885245901637,1.0,True
2Wiki,rq1_mr3_g010_branchstrict,dbec_selective,support_hit_count,1,3,0.1,strict,122,0.03278688524590164,-0.01639344262295082,0.09016393442622951,0.8451,False
2Wiki,rq2_mr1_g000_branchoff,rank_fill5,support_recall,2,1,0.0,off,122,0.010245901639344262,-0.0020491803278688526,0.02459016393442623,0.9157,False
2Wiki,rq2_mr1_g000_branchoff,dbec_selective,support_recall,2,1,0.0,off,122,-0.036885245901639344,-0.06147540983606557,-0.010245901639344262,0.0019,True
2Wiki,rq2_mr1_g000_branchoff,rank_fill5,support_complete,2,1,0.0,off,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.831,False
2Wiki,rq2_mr1_g000_branchoff,dbec_selective,support_complete,2,1,0.0,off,122,-0.13114754098360656,-0.22950819672131148,-0.040983606557377046,0.0023,True
2Wiki,rq2_mr1_g000_branchoff,rank_fill5,support_hit_count,2,1,0.0,off,122,0.040983606557377046,-0.00819672131147541,0.09836065573770492,0.9194,False
2Wiki,rq2_mr1_g000_branchoff,dbec_selective,support_hit_count,2,1,0.0,off,122,-0.14754098360655737,-0.2459016393442623,-0.04918032786885246,0.0012,True
2Wiki,rq2_mr1_g000_branchstrict,rank_fill5,support_recall,2,1,0.0,strict,122,0.010245901639344262,-0.0020491803278688526,0.02459016393442623,0.9171,False
2Wiki,rq2_mr1_g000_branchstrict,dbec_selective,support_recall,2,1,0.0,strict,122,-0.036885245901639344,-0.06147540983606557,-0.012295081967213115,0.0017,True
2Wiki,rq2_mr1_g000_branchstrict,rank_fill5,support_complete,2,1,0.0,strict,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.831,False
2Wiki,rq2_mr1_g000_branchstrict,dbec_selective,support_complete,2,1,0.0,strict,122,-0.13114754098360656,-0.22950819672131148,-0.040983606557377046,0.0023,True
2Wiki,rq2_mr1_g000_branchstrict,rank_fill5,support_hit_count,2,1,0.0,strict,122,0.040983606557377046,-0.00819672131147541,0.09836065573770492,0.9202,False
2Wiki,rq2_mr1_g000_branchstrict,dbec_selective,support_hit_count,2,1,0.0,strict,122,-0.14754098360655737,-0.2459016393442623,-0.04918032786885246,0.0022,True
2Wiki,rq2_mr1_g003_branchoff,rank_fill5,support_recall,2,1,0.03,off,122,0.010245901639344262,-0.0020491803278688526,0.02459016393442623,0.9206,False
2Wiki,rq2_mr1_g003_branchoff,dbec_selective,support_recall,2,1,0.03,off,122,-0.036885245901639344,-0.06147540983606557,-0.012243852459017138,0.0023,True
2Wiki,rq2_mr1_g003_branchoff,rank_fill5,support_complete,2,1,0.03,off,122,0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.8342,False
