dataset,feature,n_strong,n_abstain_helpful,n_bind_helpful,auc_abstain,auc_abs_distance,direction,abstain_mean,bind_mean,mean_diff_abstain_minus_bind
ALL,alias_match_rate,346,117,229,0.5924121972156907,0.09241219721569072,high=>abstain,0.22395752395752397,0.12667394468704513,0.09728357927047884
ALL,dep_margin_min_diagnostic,346,117,229,0.41139476728996377,0.08860523271003623,high=>bind,0.5311507179487179,0.6718662620087337,-0.14071554406001574
ALL,bind_conf_margin_diagnostic,346,117,229,0.4116373679692457,0.08836263203075428,high=>bind,0.5936934843304843,0.7228306360989811,-0.12913715176849683
ALL,dep_margin_mean_diagnostic,346,117,229,0.4116373679692457,0.08836263203075428,high=>bind,0.5936934843304843,0.7228306360989811,-0.12913715176849683
ALL,candidate_count_max,346,117,229,0.5874855372671967,0.08748553726719666,high=>abstain,2.1538461538461537,1.7161572052401746,0.4376889486059792
ALL,binding_count,346,117,229,0.586795058410779,0.08679505841077895,high=>abstain,2.9914529914529915,2.2838427947598254,0.707610196693166
ALL,binding_count_unpruned,346,117,229,0.586795058410779,0.08679505841077895,high=>abstain,2.9914529914529915,2.2838427947598254,0.707610196693166
ALL,single_candidate_req_count,346,117,229,0.41423132907849064,0.08576867092150936,high=>bind,0.6666666666666666,0.8864628820960698,-0.2197962154294032
ALL,bind_conf_candidate_simplicity,346,117,229,0.4152390549770462,0.08476094502295378,high=>bind,0.6710758377425045,0.7768888195744091,-0.10581298183190468
ALL,low_ambiguity,346,117,229,0.4152390549770462,0.08476094502295378,high=>bind,0.6710758377425045,0.7768888195744091,-0.10581298183190468
ALL,candidate_count_mean,346,117,229,0.5761206285223752,0.07612062852237522,high=>abstain,1.735042735042735,1.497088791848617,0.237953943194118
ALL,bind_conf_single_candidate_rate,346,117,229,0.42484977419475234,0.07515022580524766,high=>bind,0.5227920227920227,0.6506550218340611,-0.12786299904203835
ALL,single_candidate_rate,346,117,229,0.42484977419475234,0.07515022580524766,high=>bind,0.5227920227920227,0.6506550218340611,-0.12786299904203835
ALL,multi_candidate_req_count,346,117,229,0.5723509871981488,0.07235098719814881,high=>abstain,0.6410256410256411,0.4585152838427948,0.1825103571828463
ALL,empty_response_rate,346,117,229,0.42988840368753034,0.07011159631246966,high=>bind,0.5092592592592593,0.5664483260553129,-0.05718906679605362
ALL,skipped_anchor_count,346,117,229,0.5690478856417721,0.06904788564177211,high=>abstain,0.39316239316239315,0.16593886462882096,0.2272235285335722
ALL,multi_candidate_rate,346,117,229,0.5648863509125518,0.0648863509125518,high=>abstain,0.4045584045584046,0.3078602620087336,0.09669814254967096
ALL,dep_score_top1_mean_diagnostic,346,117,229,0.4389019520023887,0.061098047997611316,high=>bind,0.9539923304843305,0.9667963595342067,-0.012804029049876209
ALL,matched_entity_count,346,117,229,0.5557048482812675,0.05570484828126754,high=>abstain,2.7777777777777777,2.2052401746724892,0.5725376031052885
ALL,candidate_count_total,346,117,229,0.5547904303362818,0.05479043033628184,high=>abstain,2.6495726495726495,2.1877729257641922,0.46179972380845724
ALL,max_dependency_depth,346,117,229,0.5460754674728474,0.04607546747284741,high=>abstain,1.376068376068376,1.2489082969432315,0.1271600791251446
ALL,empty_entity_responses,346,117,229,0.46079199790990183,0.03920800209009817,high=>bind,3.717948717948718,4.008733624454148,-0.2907849065054302
ALL,extraction_count,346,117,229,0.5303624080916657,0.030362408091665682,high=>abstain,7.948717948717949,7.358078602620087,0.5906393460978618
ALL,bind_conf_candidate_coverage,346,117,229,0.47017877803904007,0.02982122196095993,high=>bind,0.9273504273504274,0.9585152838427947,-0.031164856492367332
ALL,candidate_coverage,346,117,229,0.47017877803904007,0.02982122196095993,high=>bind,0.9273504273504274,0.9585152838427947,-0.031164856492367332
ALL,candidate_req_count,346,117,229,0.47491882208039415,0.025081177919605846,high=>bind,1.3076923076923077,1.3449781659388647,-0.03728585824655695
ALL,dependent_req_count,346,117,229,0.5063076176613295,0.006307617661329479,high=>abstain,1.4700854700854702,1.4323144104803494,0.03777105960512084
ALL,requirement_count,346,117,229,0.5060650169820475,0.006065016982047533,high=>abstain,2.641025641025641,2.6375545851528384,0.0034710558728026086
HotpotQA,bind_conf_composite_with_margin_diagnostic,57,25,32,0.3025,0.1975,high=>bind,0.636782009439345,0.7879111485440987,-0.15112913910475367
HotpotQA,bind_conf_composite_primary,57,25,32,0.3175,0.1825,high=>bind,0.6704923184658479,0.7962060763051233,-0.1257137578392754
HotpotQA,bind_conf_candidate_simplicity,57,25,32,0.335,0.16499999999999998,high=>bind,0.6303809523809524,0.8369791666666667,-0.20659821428571434
HotpotQA,low_ambiguity,57,25,32,0.335,0.16499999999999998,high=>bind,0.6303809523809524,0.8369791666666667,-0.20659821428571434
HotpotQA,multi_candidate_rate,57,25,32,0.658125,0.15812499999999996,high=>abstain,0.5266666666666666,0.234375,0.2922916666666666
HotpotQA,bind_conf_single_candidate_rate,57,25,32,0.3475,0.15250000000000002,high=>bind,0.42666666666666664,0.71875,-0.29208333333333336
HotpotQA,exactish_match_rate,57,25,32,0.3475,0.15250000000000002,high=>bind,0.6326666666666667,0.8333333333333334,-0.20066666666666666
HotpotQA,single_candidate_rate,57,25,32,0.3475,0.15250000000000002,high=>bind,0.42666666666666664,0.71875,-0.29208333333333336
HotpotQA,candidate_count_mean,57,25,32,0.6525,0.15249999999999997,high=>abstain,1.96,1.359375,0.600625
HotpotQA,bind_conf_margin_diagnostic,57,25,32,0.349375,0.150625,high=>bind,0.5019407733333333,0.7547314375,-0.25279066416666673
HotpotQA,binding_count,57,25,32,0.650625,0.150625,high=>abstain,3.04,1.5625,1.4775
HotpotQA,binding_count_unpruned,57,25,32,0.650625,0.150625,high=>abstain,3.04,1.5625,1.4775
