split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.27,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.27,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.27,MuSiQue,1000,0.338,0.4368931,0.7616666666666667,0.336,0.0010000000000000009,0.0010000000000000009,0.000500000000000056,-0.008920399999999995,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.28,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.28,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.28,MuSiQue,1000,0.338,0.4368931,0.7616666666666667,0.337,0.0010000000000000009,0.0010000000000000009,0.000500000000000056,-0.008920399999999995,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.29,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.29,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.29,MuSiQue,1000,0.339,0.4378931,0.7615,0.34,0.0020000000000000018,0.0020000000000000018,0.0003333333333332966,-0.007920399999999994,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.3,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.3,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.3,MuSiQue,1000,0.339,0.4378931,0.7615,0.342,0.0020000000000000018,0.0020000000000000018,0.0003333333333332966,-0.007920399999999994,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.31,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.31,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.31,MuSiQue,1000,0.339,0.4378931,0.7615,0.345,0.0020000000000000018,0.0020000000000000018,0.0003333333333332966,-0.007920399999999994,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.32,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6323417333333333,0.0006666666666666673
