split,threshold,dataset,f1,em,title_recall,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,null_rate
dev,0.83,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.83,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6286919831223629
dev,0.84,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.84,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.84,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.85,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.85,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.85,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.86,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.86,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.86,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.87,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.87,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.87,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.88,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.88,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.88,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.89,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.89,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.89,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.9,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.9,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.9,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.91,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.91,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.91,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.92,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.92,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.92,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.93,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.93,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.93,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.94,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.94,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.94,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
dev,0.95,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.95,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.95,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6371308016877637
test,0.8,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.8,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.36164736164736166
test,0.8,MuSiQue,0.4516577981651376,0.35517693315858456,0.7707514198339886,0.015869593709043284,0.011795543905635697,0.013761467889908285,0.001727129750982992,0.6028833551769331
test,0.81,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.81,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.81,MuSiQue,0.4536237221494102,0.3577981651376147,0.7707514198339886,0.017835517693315872,0.014416775884665833,0.013761467889908285,0.0036930537352555803,0.6238532110091743
test,0.82,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.82,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.82,MuSiQue,0.4536237221494102,0.3577981651376147,0.7707514198339886,0.017835517693315872,0.014416775884665833,0.013761467889908285,0.0036930537352555803,0.6238532110091743
test,0.83,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.83,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
