dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
MuSiQue,oracle_fill5 - rank_fill5,support_recall,0.9174528301886793,0.6367924528301887,106,0.2806603773584906,0.24292452830188682,0.31996855345911945,1.0,True
MuSiQue,oracle_fill5 - rank_fill5,support_complete,0.7358490566037735,0.20754716981132076,106,0.5283018867924528,0.4339622641509434,0.6226415094339622,1.0,True
MuSiQue,dbec_repair_fill5 - rank_fill5,em,0.22641509433962265,0.2830188679245283,106,-0.05660377358490566,-0.12264150943396226,0.009433962264150943,0.0387,False
MuSiQue,dbec_repair_fill5 - rank_fill5,f1,0.28685119911535006,0.33915251415251413,106,-0.05230131503716409,-0.11745461692395653,0.009433962264150938,0.049,False
MuSiQue,dbec_repair_fill5 - rank_fill5,support_recall,0.6124213836477987,0.6367924528301887,106,-0.024371069182389935,-0.05031446540880503,0.0015723270440251558,0.031,False
MuSiQue,dbec_repair_fill5 - rank_fill5,support_complete,0.1509433962264151,0.20754716981132076,106,-0.05660377358490566,-0.11320754716981132,-0.009433962264150943,0.0063,True
MuSiQue,oracle_fill5 - DBEC-selective,em,0.4716981132075472,0.25471698113207547,106,0.2169811320754717,0.12264150943396226,0.3113207547169811,1.0,True
MuSiQue,oracle_fill5 - DBEC-selective,f1,0.5405006942742792,0.3093320754716981,106,0.23116861880258105,0.13930136557624764,0.3240272020746549,1.0,True
MuSiQue,oracle_fill5 - DBEC-selective,support_recall,0.9174528301886793,0.6179245283018868,106,0.29952830188679247,0.2547169811320755,0.3443396226415094,1.0,True
MuSiQue,oracle_fill5 - DBEC-selective,support_complete,0.7358490566037735,0.19811320754716982,106,0.5377358490566038,0.4339622641509434,0.6415094339622641,1.0,True
MuSiQue,dbec_repair_fill5 - DBEC-selective,em,0.22641509433962265,0.25471698113207547,106,-0.02830188679245283,-0.09433962264150944,0.02830188679245283,0.142,False
MuSiQue,dbec_repair_fill5 - DBEC-selective,f1,0.28685119911535006,0.3093320754716981,106,-0.022480876356348052,-0.08368210916442048,0.03546937893081759,0.2301,False
MuSiQue,dbec_repair_fill5 - DBEC-selective,support_recall,0.6124213836477987,0.6179245283018868,106,-0.005503144654088052,-0.03380503144654088,0.02358490566037736,0.3332,False
MuSiQue,dbec_repair_fill5 - DBEC-selective,support_complete,0.1509433962264151,0.19811320754716982,106,-0.04716981132075472,-0.10377358490566038,0.0,0.023,False
